Step,Node_Index,R,G,B,diffR,diffG,diffB
0,0,225.448,53.897,150.734,0.0,0.0,0.0
0,1,100.797,179.831,11.391,0.0,0.0,0.0
0,2,83.376,212.205,118.235,0.0,0.0,0.0
0,3,227.706,201.163,241.263,0.0,0.0,0.0
0,4,213.7,70.293,208.671,0.0,0.0,0.0
0,5,28.115,182.196,70.676,0.0,0.0,0.0
0,6,22.401,220.088,204.538,0.0,0.0,0.0
0,7,121.982,205.568,146.832,0.0,0.0,0.0
0,8,107.078,161.814,109.102,0.0,0.0,0.0
0,9,163.3,155.207,26.886,0.0,0.0,0.0
0,10,228.808,179.698,170.867,0.0,0.0,0.0
0,11,77.108,6.194,199.535,0.0,0.0,0.0
0,12,225.625,65.621,163.115,0.0,0.0,0.0
0,13,61.215,43.262,109.945,0.0,0.0,0.0
0,14,153.183,119.007,210.162,0.0,0.0,0.0
0,15,39.418,225.465,82.796,0.0,0.0,0.0
0,16,53.911,183.608,217.593,0.0,0.0,0.0
0,17,231.149,3.761,59.258,0.0,0.0,0.0
0,18,152.901,120.953,59.71,0.0,0.0,0.0
0,19,78.778,4.49,164.446,0.0,0.0,0.0
0,20,125.021,144.579,80.832,0.0,0.0,0.0
0,21,207.955,168.178,234.306,0.0,0.0,0.0
0,22,91.915,228.833,117.565,0.0,0.0,0.0
0,23,167.46,79.151,224.345,0.0,0.0,0.0
0,24,14.784,2.133,123.432,0.0,0.0,0.0
0,25,108.162,7.277,223.642,0.0,0.0,0.0
0,26,215.319,119.041,138.59,0.0,0.0,0.0
0,27,129.295,197.392,225.984,0.0,0.0,0.0
0,28,57.866,214.431,173.032,0.0,0.0,0.0
0,29,184.384,75.631,134.803,0.0,0.0,0.0
0,30,40.964,92.08,11.195,0.0,0.0,0.0
0,31,37.189,179.409,132.282,0.0,0.0,0.0
0,32,157.394,15.891,214.074,0.0,0.0,0.0
0,33,89.645,12.932,124.122,0.0,0.0,0.0
0,34,188.432,117.733,19.68,0.0,0.0,0.0
0,35,193.401,34.985,234.023,0.0,0.0,0.0
0,36,6.724,50.81,226.222,0.0,0.0,0.0
0,37,75.608,233.903,141.575,0.0,0.0,0.0
0,38,147.173,81.789,219.965,0.0,0.0,0.0
0,39,28.869,42.961,179.955,0.0,0.0,0.0
0,40,223.623,205.556,218.216,0.0,0.0,0.0
0,41,39.524,23.357,106.869,0.0,0.0,0.0
0,42,0.074,41.29,125.563,0.0,0.0,0.0
0,43,206.868,139.554,118.203,0.0,0.0,0.0
0,44,222.271,105.47,116.43,0.0,0.0,0.0
0,45,80.262,37.514,192.953,0.0,0.0,0.0
0,46,61.052,102.924,221.589,0.0,0.0,0.0
0,47,102.012,221.504,138.521,0.0,0.0,0.0
0,48,221.829,109.322,187.115,0.0,0.0,0.0
0,49,21.303,164.705,126.29,0.0,0.0,0.0
0,50,147.351,1.371,24.179,0.0,0.0,0.0
0,51,152.354,14.128,198.081,0.0,0.0,0.0
0,52,76.859,224.595,67.816,0.0,0.0,0.0
0,53,157.473,69.442,24.363,0.0,0.0,0.0
0,54,49.908,217.736,195.078,0.0,0.0,0.0
0,55,153.181,214.662,209.882,0.0,0.0,0.0
0,56,205.541,177.655,182.149,0.0,0.0,0.0
0,57,53.176,126.517,188.685,0.0,0.0,0.0
0,58,216.255,129.847,26.853,0.0,0.0,0.0
0,59,167.226,20.388,71.669,0.0,0.0,0.0
0,60,176.833,83.629,34.325,0.0,0.0,0.0
0,61,56.741,89.055,21.841,0.0,0.0,0.0
0,62,112.448,30.682,122.958,0.0,0.0,0.0
0,63,218.921,98.67,25.732,0.0,0.0,0.0
0,64,4.851,199.421,227.394,0.0,0.0,0.0
0,65,13.439,105.614,88.983,0.0,0.0,0.0
0,66,70.681,231.726,68.815,0.0,0.0,0.0
0,67,203.791,103.238,14.351,0.0,0.0,0.0
0,68,75.408,134.691,44.049,0.0,0.0,0.0
0,69,167.636,183.284,20.321,0.0,0.0,0.0
0,70,36.568,68.734,136.963,0.0,0.0,0.0
0,71,144.737,2.98,59.282,0.0,0.0,0.0
0,72,84.172,12.513,214.655,0.0,0.0,0.0
0,73,206.377,163.438,177.313,0.0,0.0,0.0
0,74,5.802,12.522,235.252,0.0,0.0,0.0
0,75,40.205,79.204,218.553,0.0,0.0,0.0
0,76,169.062,178.117,27.254,0.0,0.0,0.0
0,77,136.696,210.356,194.011,0.0,0.0,0.0
0,78,190.648,225.666,185.065,0.0,0.0,0.0
0,79,5.716,77.024,229.74,0.0,0.0,0.0
0,80,128.216,214.883,67.483,0.0,0.0,0.0
0,81,157.935,21.981,131.504,0.0,0.0,0.0
0,82,108.621,238.438,105.896,0.0,0.0,0.0
0,83,103.365,131.131,12.721,0.0,0.0,0.0
0,84,195.431,148.078,254.461,0.0,0.0,0.0
0,85,161.937,164.218,48.517,0.0,0.0,0.0
0,86,106.706,235.6,21.248,0.0,0.0,0.0
0,87,135.733,70.001,70.189,0.0,0.0,0.0
0,88,15.47,18.467,43.122,0.0,0.0,0.0
0,89,114.364,35.556,148.599,0.0,0.0,0.0
0,90,105.072,4.174,111.796,0.0,0.0,0.0
0,91,144.607,172.489,141.477,0.0,0.0,0.0
0,92,20.34,158.36,115.452,0.0,0.0,0.0
0,93,254.953,201.522,68.702,0.0,0.0,0.0
0,94,96.501,157.397,195.661,0.0,0.0,0.0
0,95,177.725,213.761,254.149,0.0,0.0,0.0
0,96,11.32,228.473,52.56,0.0,0.0,0.0
0,97,187.86,137.646,130.007,0.0,0.0,0.0
0,98,245.475,189.172,184.369,0.0,0.0,0.0
0,99,161.609,72.442,192.399,0.0,0.0,0.0
100,0,227.341,220.14,213.851,-1.893,-166.243,-63.117
100,1,222.191,228.729,205.627,-121.394,-48.898,-194.236
100,2,227.267,228.398,210.692,-143.891,-16.193,-92.457
100,3,235.207,215.552,200.883,-7.501,-14.389,40.38
100,4,235.394,206.971,195.22,-21.694,-136.678,13.451
100,5,215.365,182.171,130.497,-187.25,0.025,-59.821
100,6,212.429,179.75,126.575,-190.028,40.338,77.963
100,7,208.374,173.475,112.833,-86.392,32.093,33.999
100,8,192.418,159.604,92.232,-85.34,2.21,16.87
100,9,191.844,155.363,70.768,-28.544,-0.156,-43.882
100,10,225.472,228.697,215.356,3.336,-48.999,-44.489
100,11,212.628,219.694,212.869,-135.52,-213.5,-13.334
100,12,214.704,219.835,208.423,10.921,-154.214,-45.308
100,13,212.155,210.62,194.806,-150.94,-167.358,-84.861
100,14,224.692,206.342,193.529,-71.509,-87.335,16.633
100,15,211.017,182.766,135.927,-171.599,42.699,-53.131
100,16,208.509,174.442,121.398,-154.598,9.166,96.195
100,17,209.708,159.226,106.799,21.441,-155.465,-47.541
100,18,202.218,136.712,85.72,-49.317,-15.759,-26.01
100,19,190.952,121.08,83.746,-112.174,-116.59,80.7
100,20,198.87,221.25,203.738,-73.849,-76.671,-122.906
100,21,206.051,222.364,209.007,1.904,-54.186,25.299
100,22,196.527,221.784,203.221,-104.612,7.049,-85.656
100,23,203.12,210.456,195.379,-35.66,-131.305,28.966
100,24,206.339,203.538,190.575,-191.555,-201.405,-67.143
100,25,194.893,181.799,154.79,-86.731,-174.522,68.852
100,26,204.34,152.435,115.828,10.979,-33.394,22.762
100,27,208.659,144.92,104.527,-79.364,52.472,121.457
100,28,193.328,133.231,87.59,-135.462,81.2,85.442
100,29,199.985,122.114,81.895,-15.601,-46.483,52.908
100,30,185.478,216.228,193.755,-144.514,-124.148,-182.56
100,31,184.64,219.908,204.346,-147.451,-40.499,-72.064
100,32,189.136,212.761,203.592,-31.742,-196.87,10.482
100,33,189.116,206.822,197.518,-99.471,-193.89,-73.396
100,34,181.303,191.668,176.498,7.129,-73.935,-156.818
100,35,187.619,168.151,161.061,5.782,-133.166,72.962
100,36,197.964,146.546,117.982,-191.24,-95.736,108.24
100,37,195.301,136.883,98.541,-119.693,97.02,43.034
100,38,193.517,112.058,93.107,-46.344,-30.269,126.858
100,39,182.418,104.474,89.001,-153.549,-61.513,90.954
100,40,167.385,210.96,196.625,56.238,-5.404,21.591
100,41,164.027,205.572,195.731,-124.503,-182.215,-88.862
100,42,169.598,207.907,200.97,-169.524,-166.617,-75.407
100,43,178.76,209.59,197.438,28.108,-70.036,-79.235
100,44,168.929,187.065,180.008,53.342,-81.595,-63.578
100,45,179.336,148.72,150.535,-99.074,-111.206,42.418
100,46,166.241,119.003,136.199,-105.189,-16.079,85.39
100,47,178.349,118.672,111.285,-76.337,102.832,27.236
100,48,188.173,106.955,95.623,33.656,2.367,91.492
100,49,177.997,106.608,87.199,-156.694,58.097,39.091
100,50,124.694,150.143,156.295,22.657,-148.772,-132.116
100,51,125.199,157.752,171.258,27.155,-143.624,26.823
100,52,97.29,178.986,154.896,-20.431,45.609,-87.08
100,53,107.817,164.824,157.978,49.656,-95.382,-133.615
100,54,92.631,174.88,182.407,-42.723,42.856,12.671
100,55,139.731,133.62,155.996,13.45,81.042,53.886
100,56,155.496,113.362,144.14,50.045,64.293,38.009
100,57,162.831,90.565,136.333,-109.655,35.952,52.352
100,58,178.312,75.921,128.694,37.943,53.926,-101.841
100,59,179.691,53.864,125.462,-12.465,-33.476,-53.793
100,60,92.106,126.313,132.161,84.727,-42.684,-97.836
100,61,77.068,129.683,135.613,-20.327,-40.628,-113.772
100,62,79.453,123.906,151.15,32.995,-93.224,-28.192
100,63,88.823,132.318,147.595,130.098,-33.648,-121.863
100,64,78.899,162.222,184.525,-74.048,37.199,42.869
100,65,116.855,114.638,148.362,-103.416,-9.024,-59.379
100,66,136.483,102.071,155.012,-65.802,129.655,-86.197
100,67,151.91,79.014,146.012,51.881,24.224,-131.661
100,68,151.937,71.252,143.906,-76.529,63.439,-99.857
100,69,170.517,67.143,122.754,-2.881,116.141,-102.433
100,70,67.307,114.419,138.528,-30.739,-45.685,-1.565
100,71,78.611,112.159,134.607,66.126,-109.179,-75.325
100,72,74.766,117.57,154.074,9.406,-105.057,60.581
100,73,84.704,130.913,155.767,121.673,32.525,21.546
100,74,71.921,128.12,171.073,-66.119,-115.598,64.179
100,75,109.624,114.967,175.264,-69.419,-35.763,43.289
100,76,139.351,90.47,153.878,29.711,87.647,-126.624
100,77,147.887,82.128,161.03,-11.191,128.228,32.981
100,78,152.767,76.869,160.331,37.881,148.797,24.734
100,79,143.663,53.002,156.149,-137.947,24.022,73.591
100,80,77.774,126.905,123.12,50.442,87.978,-55.637
100,81,79.277,105.317,140.809,78.658,-83.336,-9.305
100,82,71.449,121.074,137.643,37.172,117.364,-31.747
100,83,71.258,114.668,132.355,32.107,16.463,-119.634
100,84,86.147,114.736,161.722,109.284,33.342,92.739
100,85,109.882,116.668,172.422,52.055,47.55,-123.905
100,86,132.18,92.547,161.734,-25.474,143.053,-140.486
100,87,144.564,73.593,158.933,-8.831,-3.592,-88.744
100,88,138.015,62.122,154.82,-122.545,-43.655,-111.698
100,89,152.162,53.226,157.138,-37.798,-17.67,-8.539
100,90,74.292,46.502,104.331,30.78,-42.328,7.465
100,91,73.802,105.5,133.411,70.805,66.989,8.066
100,92,59.703,109.246,134.319,-39.363,49.114,-18.867
100,93,86.815,118.147,133.567,168.138,83.375,-64.865
100,94,76.711,106.827,154.609,19.79,50.57,41.052
100,95,116.799,119.817,201.248,60.926,93.944,52.901
100,96,103.412,108.48,176.294,-92.092,119.993,-123.734
100,97,138.268,84.005,179.219,49.592,53.641,-49.212
100,98,165.897,72.257,175.035,79.578,116.915,9.334
100,99,159.282,54.04,175.523,2.327,18.402,16.876
200,0,231.315,233.196,227.09,-3.974,-13.056,-13.239
200,1,234.149,226.53,220.793,-11.958,2.199,-15.166
200,2,233.883,223.297,215.311,-6.616,5.101,-4.619
200,3,234.696,213.632,209.398,0.511,1.92,-8.515
200,4,237.507,204.528,196.62,-2.113,2.443,-1.4
200,5,230.701,198.518,164.37,-15.336,-16.347,-33.873
200,6,214.984,192.893,113.338,-2.555,-13.143,13.237
200,7,207.888,185.743,83.12,0.486,-12.268,29.713
200,8,194.268,182.358,44.897,-1.85,-22.754,47.335
200,9,186.404,173.876,26.48,5.44,-18.513,44.288
200,10,213.513,232.805,222.136,11.959,-4.108,-6.78
200,11,214.577,225.349,216.817,-1.949,-5.655,-3.948
200,12,216.267,219.151,211.693,-1.563,0.684,-3.27
200,13,222.738,210.737,208.379,-10.583,-0.117,-13.573
200,14,222.072,193.317,192.433,2.62,13.025,1.096
200,15,224.406,189.547,168.316,-13.389,-6.781,-32.389
200,16,210.009,182.138,117.078,-1.5,-7.696,4.32
200,17,205.311,164.872,87.679,4.397,-5.646,19.12
200,18,197.191,156.56,60.967,5.027,-19.848,24.753
200,19,191.683,151.946,29.512,-0.731,-30.866,54.234
200,20,199.019,231.414,215.719,-0.149,-10.164,-11.981
200,21,204.733,224.84,213.229,1.318,-2.476,-4.222
200,22,207.031,217.872,209.697,-10.504,3.912,-6.476
200,23,208.477,203.685,197.604,-5.357,6.771,-2.225
200,24,208.414,193.286,189.863,-2.075,10.252,0.712
200,25,216.495,185.954,173.097,-21.602,-4.155,-18.307
200,26,208.787,165.518,111.726,-4.447,-13.083,4.102
200,27,206.718,153.754,91.453,1.941,-8.834,13.074
200,28,198.363,145.503,65.043,-5.035,-12.272,22.547
200,29,195.006,139.986,46.608,4.979,-17.872,35.287
200,30,184.922,228.369,208.669,0.556,-12.141,-14.914
200,31,185.41,225.496,207.891,-0.77,-5.588,-3.545
200,32,195.221,215.681,204.864,-6.085,-2.92,-1.272
200,33,191.822,197.477,187.903,-2.706,9.345,9.615
200,34,192.835,185.232,182.79,-11.532,6.436,-6.292
200,35,196.139,173.409,170.099,-8.52,-5.258,-9.038
200,36,205.232,144.04,126.043,-7.268,2.506,-8.061
200,37,196.305,141.277,86.221,-1.004,-4.394,12.32
200,38,195.83,133.495,70.53,-2.313,-21.437,22.577
200,39,194.71,129.765,52.213,-12.292,-25.291,36.788
200,40,145.857,216.294,187.311,21.528,-5.334,9.314
200,41,145.218,214.905,190.303,18.809,-9.333,5.428
200,42,145.343,206.43,193.174,24.255,1.477,7.796
200,43,158.471,188.509,177.904,20.289,21.081,19.534
200,44,158.237,176.633,172.454,10.692,10.432,7.554
200,45,165.898,158.017,158.032,13.438,-9.297,-7.497
200,46,178.787,129.218,136.812,-12.546,-10.215,-0.613
200,47,191.179,112.744,106.841,-12.83,5.928,4.444
200,48,195.507,93.834,85.017,-7.334,13.121,10.606
200,49,192.295,92.92,71.038,-14.298,13.688,16.161
200,50,105.609,186.372,149.321,19.085,-36.229,6.974
200,51,109.644,193.966,160.94,15.555,-36.214,10.318
200,52,109.206,191.999,162.125,-11.916,-13.013,-7.229
200,53,128.18,180.425,166.572,-20.363,-15.601,-8.594
200,54,133.542,173.625,169.599,-40.911,1.255,12.808
200,55,140.684,150.024,158.805,-0.953,-16.404,-2.809
200,56,155.875,117.743,131.193,-0.379,-4.381,12.947
200,57,170.052,100.99,123.83,-7.221,-10.425,12.503
200,58,189.865,79.249,110.574,-11.553,-3.328,18.12
200,59,189.924,59.645,99.561,-10.233,-5.781,25.901
200,60,79.518,161.635,124.977,12.588,-35.322,7.184
200,61,74.592,169.562,135.048,2.476,-39.879,0.565
200,62,78.438,171.487,142.084,1.015,-47.581,9.066
200,63,103.159,167.772,150.87,-14.336,-35.454,-3.275
200,64,106.925,163.682,166.861,-28.026,-1.46,17.664
200,65,117.049,141.057,158.92,-0.194,-26.419,-10.558
200,66,140.925,112.236,143.111,-4.442,-10.165,11.901
200,67,149.684,92.598,138.917,2.226,-13.584,7.095
200,68,170.173,63.219,119.089,-18.236,8.033,24.817
200,69,179.079,57.295,106.868,-8.562,9.848,15.886
200,70,59.385,147.483,110.022,7.922,-33.064,28.506
200,71,59.08,156.687,120.048,19.531,-44.528,14.559
200,72,59.119,157.366,132.2,15.647,-39.796,21.874
200,73,58.106,151.016,135.656,26.598,-20.103,20.111
200,74,76.993,151.256,158.574,-5.072,-23.136,12.499
200,75,86.81,140.54,161.787,22.814,-25.573,13.477
200,76,120.081,109.496,163.426,19.27,-19.026,-9.548
200,77,135.813,90.677,145.524,12.074,-8.549,15.506
200,78,155.576,65.766,138.191,-2.809,11.103,22.14
200,79,157.483,37.275,127.231,-13.82,15.727,28.918
200,80,43.125,123.887,84.984,34.649,3.018,38.136
200,81,41.28,128.74,99.565,37.997,-23.423,41.244
200,82,41.738,134.091,115.39,29.711,-13.017,22.253
200,83,45.357,133.07,120.702,25.901,-18.402,11.653
200,84,55.838,141.439,152.327,30.309,-26.703,9.395
200,85,76.899,122.416,176.229,32.983,-5.748,-3.807
200,86,90.512,108.362,173.287,41.668,-15.815,-11.553
200,87,118.177,80.367,173.182,26.387,-6.774,-14.249
200,88,133.977,55.352,163.468,4.038,6.77,-8.648
200,89,153.055,39.482,141.694,-0.893,13.744,15.444
200,90,43.082,81.434,78.862,31.21,-34.932,25.469
200,91,43.056,113.238,100.003,30.746,-7.738,33.408
200,92,38.282,119.51,111.872,21.421,-10.264,22.447
200,93,46.958,120.1,121.942,39.857,-1.953,11.625
200,94,56.778,115.886,162.989,19.933,-9.059,-8.38
200,95,81.428,116.206,188.428,35.371,3.611,12.82
200,96,80.106,105.179,182.872,23.306,3.301,-6.578
200,97,108.941,84.369,188.395,29.327,-0.364,-9.176
200,98,139.958,62.519,185.521,25.939,9.738,-10.486
200,99,146.119,45.182,186.421,13.163,8.858,-10.898
300,0,246.0,246.675,234.514,-14.685,-13.479,-7.424
300,1,242.745,238.508,225.808,-8.596,-11.978,-5.015
300,2,240.489,234.581,221.516,-6.606,-11.284,-6.205
300,3,238.216,226.333,211.504,-3.52,-12.701,-2.106
300,4,236.472,203.381,182.744,1.035,1.147,13.876
300,5,225.474,188.547,126.248,5.227,9.971,38.122
300,6,216.017,192.612,89.935,-1.033,0.281,23.403
300,7,211.878,194.012,76.173,-3.99,-8.269,6.947
300,8,197.707,196.597,35.879,-3.439,-14.239,9.018
300,9,195.103,201.165,24.528,-8.699,-27.289,1.952
300,10,230.713,241.952,233.376,-17.2,-9.147,-11.24
300,11,230.509,236.04,227.814,-15.932,-10.691,-10.997
300,12,230.848,229.795,218.705,-14.581,-10.644,-7.012
300,13,231.545,220.801,206.395,-8.807,-10.064,1.984
300,14,227.969,182.657,171.415,-5.897,10.66,21.018
300,15,226.574,182.341,133.17,-2.168,7.206,35.146
300,16,214.468,182.128,93.986,-4.459,0.01,23.092
300,17,210.443,180.24,73.659,-5.132,-15.368,14.02
300,18,206.959,175.424,55.249,-9.768,-18.864,5.718
300,19,200.017,181.702,31.735,-8.334,-29.756,-2.223
300,20,220.363,238.252,230.743,-21.344,-6.838,-15.024
300,21,220.122,234.169,229.967,-15.389,-9.329,-16.738
300,22,222.022,229.78,221.676,-14.991,-11.908,-11.979
300,23,217.412,194.831,186.582,-8.935,8.854,11.022
300,24,221.626,177.298,167.194,-13.212,15.988,22.669
300,25,226.584,172.358,159.796,-10.089,13.596,13.301
300,26,217.794,169.944,101.792,-9.007,-4.426,9.934
300,27,212.497,164.157,70.993,-5.779,-10.403,20.46
300,28,210.37,164.458,57.143,-12.007,-18.955,7.9
300,29,210.431,148.298,46.633,-15.425,-8.312,-0.025
300,30,208.283,234.453,229.556,-23.361,-6.084,-20.887
300,31,203.821,231.038,226.684,-18.411,-5.542,-18.793
300,32,184.509,214.34,217.466,10.712,1.341,-12.602
300,33,198.106,184.113,181.987,-6.284,13.364,5.916
300,34,208.416,173.366,168.663,-15.581,11.866,14.127
300,35,212.717,160.789,148.647,-16.578,12.62,21.452
300,36,219.435,131.658,115.8,-14.203,12.382,10.243
300,37,218.832,128.266,70.625,-22.527,13.011,15.596
300,38,211.388,129.384,56.949,-15.558,4.111,13.581
300,39,213.89,127.431,49.08,-19.18,2.334,3.133
300,40,153.533,216.547,207.135,-7.676,-0.253,-19.824
300,41,154.019,214.935,208.73,-8.801,-0.03,-18.427
300,42,126.049,211.393,191.726,19.294,-4.963,1.448
300,43,147.668,184.455,173.419,10.803,4.054,4.485
300,44,154.223,174.776,164.385,4.014,1.857,8.069
300,45,191.556,148.403,151.328,-25.658,9.614,6.704
300,46,205.726,123.98,113.984,-26.939,5.238,22.828
300,47,212.894,94.718,83.429,-21.715,18.026,23.412
300,48,218.764,85.579,69.214,-23.257,8.255,15.803
300,49,217.807,80.28,62.973,-25.512,12.64,8.065
300,50,118.975,197.54,178.913,-13.366,-11.168,-29.592
300,51,102.77,209.932,169.313,6.874,-15.966,-8.373
300,52,104.648,202.303,174.334,4.558,-10.304,-12.209
300,53,106.166,195.948,172.987,22.014,-15.523,-6.415
300,54,129.624,176.69,161.65,3.918,-3.065,7.949
300,55,139.531,157.419,143.985,1.153,-7.395,14.82
300,56,193.602,99.831,99.165,-37.727,17.912,32.028
300,57,204.321,85.336,88.041,-34.269,15.654,35.789
300,58,210.597,74.138,80.345,-20.732,5.111,30.229
300,59,209.373,54.356,68.805,-19.449,5.289,30.756
300,60,62.527,173.159,136.116,16.991,-11.524,-11.139
300,61,70.203,184.492,148.188,4.389,-14.93,-13.14
300,62,80.472,199.223,155.583,-2.034,-27.736,-13.499
300,63,86.117,192.767,154.504,17.042,-24.995,-3.634
300,64,83.596,180.516,152.552,23.329,-16.834,14.309
300,65,111.325,149.176,149.152,5.724,-8.119,9.768
300,66,129.4,115.956,143.287,11.525,-3.72,-0.176
300,67,184.591,73.802,105.193,-34.907,18.796,33.724
300,68,192.154,55.976,96.761,-21.981,7.243,22.328
300,69,200.517,42.086,88.311,-21.438,15.209,18.557
